Candidate Name,Website,Facebook,Twitter,Instagram,City,State,Name of race
Kate Knuth,https://mplsforkate.com/,,,,,Minnesota,Minneapolis Mayoral
David Rabbitt,http://davidrabbitt.com,https://www.facebook.com/David-Rabbitt-for-Supervisor-328226973359/,https://twitter.com/davidrabbitt,,,California,Sonoma County District 2 Supervisor
Graig Meyer,https://www.graigmeyer.com,Https://www.facebook.com/graigmeyer,https://www.twitter.com/graigmeyer,,,North Carolina,State Representative
Rebecca Waber,https://www.rebeccawaber.com/,https://www.facebook.com/RebeccaWaberNeedhamSchool/,,,,Massachusetts,Needham School Committee
Michael O'Brien,https://www.mikeforneedham.com/,https://www.facebook.com/pg/MikeforNeedhamSchools/posts/,,,,Massachusetts,Needham School Committee
Elizabeth Anne Lee,https://www.votelizlee.com/,https://www.facebook.com/LizLeeSC/,,,,Massachusetts,Needham School Committee
Lakshmi Balachandra,https://www.lakshmiforneedham.org/,https://www.facebook.com/pages/category/Political-Candidate/Lakshmi-for-Needham-Select-Board-103754368413257/,https://twitter.com/proflb,,,Massachusetts,Needham Select Board
Maurice Handel,https://www.moehandel.com/,https://www.facebook.com/maurice.handel,https://twitter.com/handelmoe,,,Massachusetts,Needham Select Board
Khrystian King,https://www.king4worcester.org/,https://www.facebook.com/King4StateRep/,,,,Massachusetts,Worcester Councilor-at-Large
Kate Toomey,https://katetoomey.com/,https://www.facebook.com/katetoomeyforcitycouncil/,https://twitter.com/KateToomey,,,Massachusetts,Worcester
Joseph Petty,http://www.pettyformayor.com/,https://www.facebook.com/mayorjoepetty/,https://twitter.com/mayorpetty,,,Massachusetts,Worcester Mayor
Guillermo Creamer Jr,https://guillermoforwoo.com/,https://www.facebook.com/CreamerJr/,https://twitter.com/guillermoforwoo,,,Massachusetts,Worcester Councilor-at-Large
Donna Colorio,http://donnacolorio.com/,https://www.facebook.com/DonnaColorio/,https://twitter.com/donnacolorio,,,Massachusetts,Councilor-at-Large
Deborah Hall,https://www.debforworcester.com/,https://www.facebook.com/debforworcester/,,,,Massachusetts,Councilor-at-Large
Crystal Smitherman,https://www.crystalfordistrict6.com/,https://facebook.com/crystalfordistrictsix,,,,Alabama,City Council District Six Birmingham
Alisha Sonnier,https://alisha4slps.wordpress.com/,https://www.facebook.com/AlishaSonnierForSLPS,,,,Missouri,St. Louis Public Schools Board of Education
Mina Davis,http://www.minaforhuttoisd.com/,https://www.facebook.com/organizeralways,https://twitter.com/minaforhuttoisd,,,Texas,Hutto Independent School District Board of Trustees
Erica Spann,http://www.voteericaspann.org/,https://www.facebook.com/VoteEricaSpann,,,,Massachusetts,Ayer-Shirley Regional School District Committee
Kelly Mason,https://kellymason.nationbuilder.com/,https://www.facebook.com/friendsofkellymason,,,,Oregon,"Springfield School District, Position 5"
Peter Argeropoulos,https://www.argeropoulosforschoolboard.org/,https://www.facebook.com/ArgeropoulosNH,https://twitter.com/ArgeropoulosNH,,,New Hampshire,"Manchester School Committee, At Large"
Holly Terrill,https://www.kansansforholly.org/,https://www.facebook.com/Holly-Terrill-for-School-Board-101164175534602,https://twitter.com/holly_terrill,,,Kansas,"Wichita USD 259 School Board, District 6"
Darwin Peters II,https://www.darwinforcpsd.com/,https://www.facebook.com/darwinforcpsd,,,,Washington,"Clover Park School District, District 3"
